3.73333e+06,1.26667e+06,0,0,0,0,0,0,0,0,0
1.26667e+06,7.46667e+06,1.26667e+06,0,0,0,0,0,0,0,0
0,1.26667e+06,7.46667e+06,1.26667e+06,0,0,0,0,0,0,0
0,0,1.26667e+06,7.46667e+06,1.26667e+06,0,0,0,0,0,0
0,0,0,1.26667e+06,7.46667e+06,1.26667e+06,0,0,0,0,0
0,0,0,0,1.26667e+06,7.46667e+06,1.26667e+06,0,0,0,0
0,0,0,0,0,1.26667e+06,7.46667e+06,1.26667e+06,0,0,0
0,0,0,0,0,0,1.26667e+06,7.46667e+06,1.26667e+06,0,0
0,0,0,0,0,0,0,1.26667e+06,7.46667e+06,1.26667e+06,0
0,0,0,0,0,0,0,0,1.26667e+06,7.46667e+06,1.26667e+06
0,0,0,0,0,0,0,0,0,1.26667e+06,3.73333e+06
